Wall time,Step,Value
1745698335.668957,1,0.36224210262298584
1745698426.0684476,2,0.653358519077301
1745698515.8496394,3,0.7508294582366943
1745698606.2558615,4,0.8045307993888855
1745698698.0162585,5,0.8408296704292297
1745698787.843792,6,0.865395188331604
1745698878.8249319,7,0.8815231323242188
1745698969.3519647,8,0.9006394147872925
1745699059.0293899,9,0.9097580909729004
1745699149.3024426,10,0.9520775079727173
1745699239.3428724,11,0.9658764004707336
1745699330.5886145,12,0.9707323312759399
1745699423.3168569,13,0.9741600751876831
1745699517.0287068,14,0.9762474894523621
1745699609.6910107,15,0.9794994592666626
1745699700.9767234,16,0.9812353253364563
1745699793.4223928,17,0.9811474084854126
1745699885.8803706,18,0.9823778867721558
1745699978.003871,19,0.9822680354118347
1745700069.2939336,20,0.982180118560791
