Wall time,Step,Value
1745698335.6691117,1,0.4194105863571167
1745698426.0685775,2,0.6274331212043762
1745698515.8498132,3,0.6219756007194519
1745698606.256003,4,0.6726396083831787
1745698698.0163894,5,0.7611424326896667
1745698787.8438742,6,0.7534109354019165
1745698878.8250737,7,0.7430416345596313
1745698969.352093,8,0.6882845163345337
1745699059.0295188,9,0.7655084729194641
1745699149.3025706,10,0.8422775864601135
1745699239.3430467,11,0.8243587017059326
1745699330.588766,12,0.8091686367988586
1745699423.3169932,13,0.8360924124717712
1745699517.028864,14,0.8449153900146484
1745699609.6912084,15,0.8458249568939209
1745699700.9768615,16,0.8521011471748352
1745699793.4225657,17,0.843187153339386
1745699885.8806114,18,0.8549208641052246
1745699978.0040047,19,0.8432781100273132
1745700069.2940676,20,0.8539202809333801
