Wall time,Step,Value
1745681599.1282623,1,0.26014187932014465
1745681685.7362232,2,0.034564308822155
1745681776.4382336,3,0.2535928785800934
1745681865.3377833,4,0.42268508672714233
1745681955.4451864,5,0.4634346067905426
1745682045.6552942,6,0.48908495903015137
1745682135.0310392,7,0.5255593657493591
1745682222.9067302,8,0.07158450037240982
1745682310.4360325,9,0.3110787570476532
1745682398.2387316,10,0.4569765329360962
1745682486.058025,11,0.2484082132577896
1745682573.5723233,12,0.5468437075614929
1745682660.8483772,13,0.4220483899116516
1745682748.2576234,14,0.5593050718307495
1745682834.961577,15,0.5642168521881104
1745682921.4655728,16,0.5551209449768066
1745683008.0708141,17,0.4179552495479584
1745683094.7930872,18,0.588502824306488
1745683182.758208,19,0.40767690539360046
1745683270.351975,20,0.5558486580848694
