Wall time,Step,Value
1745705925.94559,1,0.6261597275733948
1745706473.7595346,2,0.4360560178756714
1745707016.9748094,3,0.4556121528148651
1745707559.1842473,4,0.39921775460243225
1745708117.6663406,5,0.5473895072937012
1745708675.0366125,6,0.49108603596687317
1745709224.9819992,7,0.5729488730430603
1745709770.9261022,8,0.34800800681114197
1745710325.8110414,9,0.3792068362236023
1745710871.2488415,10,0.5951427817344666
1745711416.179488,11,0.4554302394390106
1745711962.989914,12,0.4515190124511719
1745712508.457234,13,0.4115881323814392
1745713057.5723376,14,0.46270692348480225
1745713604.9146626,15,0.5046389102935791
1745714152.0132785,16,0.5486629009246826
1745714698.2049744,17,0.39858105778694153
1745715245.6856322,18,0.5847735404968262
1745715792.398676,19,0.4228670299053192
1745716337.8368502,20,0.565581202507019
