Wall time,Step,Value
1745705925.9454978,1,0.030508043244481087
1745706473.759424,2,0.07158537954092026
1745707016.9746337,3,0.0751732736825943
1745707559.184159,4,0.12414127588272095
1745708117.6662185,5,0.06944925338029861
1745708675.0365071,6,0.09239647537469864
1745709224.9817896,7,0.07461433857679367
1745709770.9260144,8,0.18983474373817444
1745710325.8107388,9,0.1748826503753662
1745710871.2484396,10,0.07830127328634262
1745711416.1794534,11,0.13781963288784027
1745711962.9898558,12,0.14274264872074127
1745712508.4568763,13,0.17128558456897736
1745713057.5722418,14,0.1416425108909607
1745713604.9143474,15,0.1176641657948494
1745714152.0130577,16,0.1012992188334465
1745714698.2049372,17,0.17462076246738434
1745715245.6854985,18,0.08775482326745987
1745715792.3985357,19,0.15933065116405487
1745716337.8367422,20,0.0959753692150116
