Wall time,Step,Value
1743251222.3374262,0,0.17365555465221405
1743251348.3211668,1,0.22786666452884674
1743251475.1227016,2,0.31051111221313477
1743251601.4568312,3,0.3629666566848755
1743251727.2653155,4,0.421322226524353
1743251856.76584,5,0.45117777585983276
1743251996.1908302,6,0.47101110219955444
1743252135.183662,7,0.4747999906539917
1743252275.10472,8,0.4896000027656555
1743252404.5938673,9,0.5000444650650024
1743252534.5254683,10,0.4924333393573761
1743252665.2218056,11,0.4978666603565216
1743252792.5055938,12,0.5052000284194946
1743252921.8014364,13,0.4952000081539154
1743253054.6399584,14,0.4801555573940277
1743253181.7560592,15,0.49826666712760925
1743253313.678344,16,0.47573333978652954
1743253443.387871,17,0.4984889030456543
1743253575.8921149,18,0.5044777989387512
1743253707.3261745,19,0.5082111358642578
1743253841.1869159,20,0.5177666544914246
1743253968.5245707,21,0.51018887758255
1743254096.804061,22,0.5121777653694153
1743254228.88005,23,0.4931222200393677
1743254357.6377099,24,0.5006444454193115
1743254495.5337296,25,0.4913666546344757
1743254625.1111588,26,0.5102777481079102
1743254754.5893383,27,0.5620889067649841
1743254884.1121957,28,0.5633333325386047
1743255014.246303,29,0.5657444596290588
1743255145.9987755,30,0.5658000111579895
1743255275.287916,31,0.5621111392974854
1743255404.8081362,32,0.5576444268226624
1743255533.5324926,33,0.5655999779701233
1743255663.9669268,34,0.5633222460746765
1743255795.4752367,35,0.5576555728912354
1743255927.6039069,36,0.5589444637298584
1743256060.7147555,37,0.5696777701377869
1743256190.3628604,38,0.5683888792991638
1743256323.7195983,39,0.5692333579063416
1743256453.305782,40,0.5691221952438354
